,time,thscode,open,high,low,close,avgPrice,changeRatio,volume,amount
465,2018-11-29,AU9999.SHG,273.49,275.05,272.8,274.6,274836.84728316,0.6229,15940.22,4380959809.8
466,2018-11-30,AU9999.SHG,273.91,275.88,273.91,274.65,274998.73086647,0.0182,10608.34,2917280036.6
467,2018-12-03,AU9999.SHG,274.95,274.95,273.65,274.27,274054.98408393,-0.1384,19935.82,5463510832.8
468,2018-12-04,AU9999.SHG,275.6,275.6,273.9,274.06,277241.76988024,-0.0766,21229.12,5885598801.8
469,2018-12-05,AU9999.SHG,274.39,274.7,274.03,274.28,275024.2212342,0.0803,19824.06,5452096663.2
470,2018-12-06,AU9999.SHG,274.69,275.87,274.18,275.3,273146.27613719,0.3719,18369.42,5017538667.8
471,2018-12-07,AU9999.SHG,276.29,276.42,275.01,275.8,277389.74506343,0.1816,33048.22,9167237320.6
472,2018-12-10,AU9999.SHG,276.67,279.0,276.0,278.83,277363.90475421,1.0986,17584.82,4877394339.6
473,2018-12-11,AU9999.SHG,278.83,278.83,277.85,278.09,278033.74036493,-0.2654,19976.5,5554141014.4
474,2018-12-12,AU9999.SHG,278.09,278.69,277.0,277.45,277346.62684962,-0.2301,16031.66,4446326823.8
475,2018-12-13,AU9999.SHG,277.85,278.5,276.8,278.26,276995.71607401,0.2919,19811.36,5487661849.6
476,2018-12-14,AU9999.SHG,277.5,277.5,276.61,277.48,276099.30763327,-0.2803,25851.04,7137454245.6
477,2018-12-17,AU9999.SHG,277.5,277.5,276.3,276.8,276544.0401173,-0.2451,19375.18,5358090555.2
478,2018-12-18,AU9999.SHG,278.0,278.6,276.99,278.59,277772.0818504,0.6467,37987.84,10551961401.8
479,2018-12-19,AU9999.SHG,278.81,278.94,278.4,278.89,278315.76305866,0.1077,31328.26,8719148587.2
480,2018-12-20,AU9999.SHG,279.0,279.8,278.0,278.99,277825.79705756,0.0359,35202.1,9780051490.6
481,2018-12-21,AU9999.SHG,280.8,281.2,279.01,280.96,278809.88194917,0.7061,30500.42,8503818499.6
482,2018-12-24,AU9999.SHG,281.28,282.4,280.5,281.76,281446.39835668,0.2847,24886.14,7004114472.0
483,2018-12-25,AU9999.SHG,282.25,284.0,281.3,283.4,282076.33594396,0.5821,23514.16,6632788095.6
484,2018-12-26,AU9999.SHG,284.0,284.49,283.1,284.21,280950.93347109,0.2858,34126.82,9587961935.4
485,2018-12-27,AU9999.SHG,284.21,284.21,282.8,282.87,280671.4104555,-0.4715,39294.54,11028853965.0
486,2018-12-28,AU9999.SHG,283.99,284.9,283.0,284.6,279409.60585697,0.6116,23833.48,6659303253.0
487,2019-01-02,AU9999.SHG,283.98,285.88,283.98,285.8,285039.86814,0.4216,24644.32,7024613723.2
488,2019-01-03,AU9999.SHG,285.89,287.98,285.3,287.31,286317.15348885,0.5283,20577.26,5891622509.8
489,2019-01-04,AU9999.SHG,287.31,289.3,285.72,287.49,285952.90982829,0.0627,23927.46,6842126811.8
490,2019-01-07,AU9999.SHG,287.49,288.0,284.8,286.18,284089.2285653,-0.4557,23231.26,6599750732.0
491,2019-01-08,AU9999.SHG,287.37,287.37,284.6,284.75,282303.30719754,-0.4997,30055.84,8484863032.6
492,2019-01-09,AU9999.SHG,286.0,286.0,283.65,283.88,283160.56112435,-0.3055,32303.0,9146935606.0
493,2019-01-10,AU9999.SHG,285.0,285.3,282.51,283.84,283114.63575025,-0.0141,30480.46,8629464330.4
494,2019-01-11,AU9999.SHG,284.99,284.99,282.61,283.2,282004.98499991,-0.2255,32146.48,9065467610.2
495,2019-01-14,AU9999.SHG,283.49,283.5,282.03,283.5,282206.1398267,0.1059,23254.5,6562562678.6
496,2019-01-15,AU9999.SHG,283.95,284.25,282.2,282.32,282647.2532958,-0.4162,29027.88,8204650551.0
497,2019-01-16,AU9999.SHG,284.0,284.0,282.02,282.97,282567.25683857,0.2302,30899.02,8731051320.4
498,2019-01-17,AU9999.SHG,283.3,283.4,282.2,283.1,282198.30041557,0.0459,33385.22,9421252343.0
499,2019-01-18,AU9999.SHG,284.0,284.0,283.1,283.28,282051.61058188,0.0636,34404.46,9703833354.2
500,2019-01-21,AU9999.SHG,284.0,284.0,281.87,282.18,281761.30907215,-0.3883,25045.22,7056773973.2
501,2019-01-22,AU9999.SHG,282.6,282.89,279.35,282.82,280308.53407747,0.2268,28417.6,7965695798.0
502,2019-01-23,AU9999.SHG,284.0,284.0,282.13,282.34,282263.3882172,-0.1697,18725.6,5285551302.4
503,2019-01-24,AU9999.SHG,283.49,283.49,282.1,282.6,281735.11926716,0.0921,22981.18,6474605488.2
504,2019-01-25,AU9999.SHG,282.6,282.6,281.7,282.39,281860.04996393,-0.0743,17548.66,4946266184.4
505,2019-01-28,AU9999.SHG,282.75,284.8,281.53,284.45,282459.90037186,0.7295,20421.94,5768379137.8
506,2019-01-29,AU9999.SHG,284.98,286.1,283.55,285.92,282184.45811482,0.5168,28823.08,8133425211.0
507,2019-01-30,AU9999.SHG,286.7,293.49,286.1,286.72,282601.34869424,0.2798,23559.38,6657912562.4
508,2019-01-31,AU9999.SHG,286.55,286.8,285.61,286.7,282887.91388947,-0.007,18102.78,5121057669.8
509,2019-02-01,AU9999.SHG,287.15,287.85,286.68,287.42,280931.30375564,0.2511,38854.06,10915321732.0
510,2019-02-11,AU9999.SHG,286.51,287.8,286.51,287.43,286117.19087433,0.0035,14000.94,4005909622.4
511,2019-02-12,AU9999.SHG,287.75,291.8,281.4,287.8,281970.39112519,0.1287,13726.04,3870336867.4
512,2019-02-13,AU9999.SHG,288.49,288.49,287.07,287.07,286166.72836138,-0.2536,15872.78,4542261522.6
513,2019-02-14,AU9999.SHG,287.42,288.16,286.01,286.5,284845.83829961,-0.1986,12031.14,3427020159.0
514,2019-02-15,AU9999.SHG,286.7,288.57,286.06,288.41,286711.09489287,0.6667,9887.36,2834815811.2
515,2019-02-18,AU9999.SHG,289.0,290.08,288.2,289.98,287580.43628414,0.5444,16916.04,4864722163.4
516,2019-02-19,AU9999.SHG,290.8,291.0,289.1,290.67,290263.12381165,0.2379,14158.28,4109626580.6
517,2019-02-20,AU9999.SHG,292.2,293.18,291.0,292.33,289681.01887258,0.5711,18635.5,5398350627.2
518,2019-02-21,AU9999.SHG,293.8,293.8,290.56,290.71,289983.45573284,-0.5542,18766.96,5442107914.4
519,2019-02-22,AU9999.SHG,291.49,291.49,288.5,288.91,286253.30920856,-0.6192,17030.9,4875151483.8
520,2019-02-25,AU9999.SHG,288.91,289.8,287.62,288.33,288325.3610082,-0.2008,23433.54,6756483880.2
521,2019-02-26,AU9999.SHG,289.2,289.2,287.2,288.0,288049.86871679,-0.1145,16008.14,4611142625.4
522,2019-02-27,AU9999.SHG,288.97,288.97,280.6,287.89,285845.05043918,-0.0382,23247.8,6645268563.6
523,2019-02-28,AU9999.SHG,287.08,287.98,285.1,286.02,286060.0798221,-0.6496,13607.76,3892636911.8
524,2019-03-01,AU9999.SHG,288.2,288.2,284.4,284.49,284039.41954182,-0.5349,20254.0,5752934403.4
525,2019-03-04,AU9999.SHG,285.76,285.76,280.7,280.71,280597.41672102,-1.3287,17908.48,5025073225.4
526,2019-03-05,AU9999.SHG,280.73,280.73,278.0,279.5,278566.56389173,-0.431,15021.82,4184576780.8
527,2019-03-06,AU9999.SHG,280.97,281.5,278.5,281.25,279264.3149027,0.6261,20300.62,5669238736.4
528,2019-03-07,AU9999.SHG,281.25,284.49,279.7,280.0,279315.19533171,-0.4444,25292.36,7064540473.8
529,2019-03-08,AU9999.SHG,281.31,282.55,279.51,282.54,281320.82162802,0.9071,18067.3,5082707680.6
530,2019-03-11,AU9999.SHG,283.5,284.29,282.2,283.5,282316.82286075,0.3398,19002.0,5364584268.0
531,2019-03-12,AU9999.SHG,284.0,284.0,282.5,282.8,281190.7199078,-0.2469,21900.86,6158318590.0
532,2019-03-13,AU9999.SHG,283.98,284.88,283.0,284.86,305865.76631322,0.7284,33455.38,10232855441.0
533,2019-03-14,AU9999.SHG,285.99,285.99,284.14,284.14,283067.15526212,-0.2528,26120.86,7393957533.2
534,2019-03-15,AU9999.SHG,284.14,284.4,282.6,284.29,281842.12201403,0.0528,25106.62,7076103057.4
535,2019-03-18,AU9999.SHG,285.0,285.0,283.25,284.28,283447.84769965,-0.0035,27005.06,7654526134.0
536,2019-03-19,AU9999.SHG,284.85,285.3,283.03,285.2,283500.63506922,0.3236,22839.4,6474984404.6
537,2019-03-20,AU9999.SHG,285.8,285.8,284.2,284.59,284433.16268639,-0.2139,23231.2,6607723689.0
538,2019-03-21,AU9999.SHG,285.48,286.6,283.7,286.5,283670.09479752,0.6711,33726.62,9567233492.6
539,2019-03-22,AU9999.SHG,286.95,286.95,285.01,286.5,285476.44556761,0.0,27727.24,7915473920.6
540,2019-03-25,AU9999.SHG,286.88,287.3,286.0,287.21,286172.49092623,0.2478,31310.04,8960072137.8
541,2019-03-26,AU9999.SHG,287.5,288.18,286.26,287.65,285922.83401072,0.1532,30558.6,8737401515.4
542,2019-03-27,AU9999.SHG,287.65,287.8,286.67,287.1,284618.97245056,-0.1912,35395.28,10074168223.2
543,2019-03-28,AU9999.SHG,289.0,289.0,286.3,286.49,285520.62386982,-0.2125,60963.68,17406387947.0
544,2019-03-29,AU9999.SHG,285.61,286.5,281.0,281.0,281286.56415719,-1.9163,19000.52,5344590988.0
545,2019-04-01,AU9999.SHG,284.2,284.2,281.4,282.0,281935.52756398,0.3559,17537.02,4944308985.6
546,2019-04-02,AU9999.SHG,283.0,283.0,281.35,281.51,281600.84067276,-0.1738,16790.6,4728247075.4
547,2019-04-03,AU9999.SHG,283.0,283.0,281.12,282.05,281098.10536631,0.1918,26818.06,7538505855.6
548,2019-04-04,AU9999.SHG,283.0,283.0,281.71,282.71,281813.65280273,0.234,13048.72,3677307447.6
549,2019-04-08,AU9999.SHG,282.2,283.89,282.2,283.62,283461.20920004,0.3219,11413.0,3235142780.6
550,2019-04-09,AU9999.SHG,283.62,284.78,283.62,283.8,284253.65302356,0.0635,22204.62,6311744349.0
551,2019-04-10,AU9999.SHG,284.7,285.2,284.3,285.1,284532.50861098,0.4581,20322.88,5782520028.6
552,2019-04-11,AU9999.SHG,285.45,285.8,284.35,285.15,282736.12044848,0.0175,21153.94,5980982927.8
553,2019-04-12,AU9999.SHG,286.0,286.0,282.68,282.8,282392.53574731,-0.8241,22296.78,6296444243.2
554,2019-04-15,AU9999.SHG,283.45,283.45,281.2,281.45,281065.03428407,-0.4774,22853.18,6423229820.2
555,2019-04-16,AU9999.SHG,281.95,282.2,280.61,281.38,281082.25714564,-0.0249,26090.74,7333644089.8
556,2019-04-17,AU9999.SHG,281.49,281.49,279.2,279.7,279454.09578457,-0.5971,21443.12,5992367710.4
557,2019-04-18,AU9999.SHG,280.68,280.68,277.5,278.7,278549.38729947,-0.3575,14870.56,4142185376.8
558,2019-04-19,AU9999.SHG,280.2,280.2,278.07,279.61,278692.35805148,0.3265,17837.1,4971063459.8
559,2019-04-22,AU9999.SHG,280.0,282.0,279.2,280.12,279461.68987164,0.1824,18552.06,5184590038.2
560,2019-04-23,AU9999.SHG,280.95,280.95,278.2,279.16,278605.31282786,-0.3427,25582.76,7127492852.8
561,2019-04-24,AU9999.SHG,279.5,279.5,277.75,278.5,278172.62154687,-0.2364,31592.34,8788124038.6
562,2019-04-25,AU9999.SHG,280.0,280.25,278.11,280.1,279702.8411501,0.5745,21207.82,5931887508.6
563,2019-04-26,AU9999.SHG,280.88,281.0,279.02,281.0,280050.42975431,0.3213,24402.78,6834009026.2
564,2019-04-29,AU9999.SHG,281.98,281.98,279.99,280.49,280903.18265429,-0.1815,27301.74,7669145658.0
565,2019-04-30,AU9999.SHG,280.5,280.98,279.5,280.88,280648.48984828,0.139,15651.54,4392581064.8
566,2019-05-06,AU9999.SHG,283.0,283.0,281.8,282.06,281767.96775942,0.4201,19587.74,5519197692.8
567,2019-05-07,AU9999.SHG,282.07,282.3,281.0,281.75,281511.6177331,-0.1099,11997.9,3377548238.4
568,2019-05-08,AU9999.SHG,280.71,283.09,280.71,282.65,278386.91357826,0.3194,21160.88,5890912071.8
569,2019-05-09,AU9999.SHG,283.0,283.97,281.1,283.5,281723.5123344,0.3007,21546.24,6070082410.4
570,2019-05-10,AU9999.SHG,282.8,284.15,282.8,283.32,281360.95751498,-0.0635,23187.94,6524181001.2
571,2019-05-13,AU9999.SHG,282.09,285.35,282.09,285.05,283418.93615744,0.6106,21662.98,6139698745.6
572,2019-05-14,AU9999.SHG,286.12,289.48,285.0,288.7,287463.81294953,1.2805,25309.96,7275697607.2
573,2019-05-15,AU9999.SHG,289.5,289.5,287.5,287.59,286427.19988201,-0.3845,18646.0,5340721569.0
574,2019-05-16,AU9999.SHG,289.45,289.45,288.1,288.71,286929.27528354,0.3894,20346.44,5837989283.8
575,2019-05-17,AU9999.SHG,289.35,289.35,286.85,288.0,287415.26445178,-0.2459,15595.66,4482430743.2
576,2019-05-20,AU9999.SHG,289.0,289.0,286.23,287.19,286641.29038681,-0.2813,22197.22,6362639783.8
577,2019-05-21,AU9999.SHG,287.89,287.89,286.06,286.6,284028.22617199,-0.2054,16758.22,4759807500.4
578,2019-05-22,AU9999.SHG,287.0,287.0,285.3,286.37,284560.13127453,-0.0803,24316.98,6919643021.0
579,2019-05-23,AU9999.SHG,286.37,287.04,285.91,286.61,284098.8716107,0.0838,20148.72,5724228616.4
580,2019-05-24,AU9999.SHG,288.48,288.83,287.0,288.54,282471.37420602,0.6734,15941.86,4503119101.6
581,2019-05-27,AU9999.SHG,288.75,288.75,287.55,288.37,286168.05393655,-0.0589,16587.64,4746852658.2
582,2019-05-28,AU9999.SHG,288.88,288.88,287.8,288.5,284802.610527,0.0451,10479.34,2984543388.6
583,2019-05-29,AU9999.SHG,287.51,288.7,287.0,288.69,285196.15816805,0.0659,17203.98,4906509001.2
584,2019-05-30,AU9999.SHG,287.95,288.99,287.0,287.1,287718.58514776,-0.5508,18774.54,5401784085.6
585,2019-05-31,AU9999.SHG,288.37,290.87,287.5,290.8,286634.23161084,1.2887,9596.96,2750817255.4
586,2019-06-03,AU9999.SHG,291.0,294.57,290.89,294.51,292955.00512546,1.2758,18300.8,5361310957.8
587,2019-06-04,AU9999.SHG,295.49,297.66,294.3,297.59,292681.8552809,1.0458,19813.28,5798987549.6
588,2019-06-05,AU9999.SHG,297.59,299.08,295.9,298.97,291409.62173606,0.4637,13528.12,3942224332.0
589,2019-06-06,AU9999.SHG,300.0,301.0,297.6,299.32,286582.39146835,0.1171,14713.22,4216549773.8
590,2019-06-10,AU9999.SHG,299.32,299.9,298.2,298.77,298841.87950296,-0.1837,10334.86,3088488986.8
591,2019-06-11,AU9999.SHG,299.5,299.5,297.0,297.0,298006.03282028,-0.5924,13392.94,3991176917.2
