,p00739_f001,p00739_f002,p00739_f003,p00739_f004,p00739_f005,p00739_f006,p00739_f007,p00739_f008,p00739_f009,p00739_f010,p00739_f011
896,2020/07/21,--,--,0.0000,127975.0000,232.0000,0.0000,--,--,5585.0000,5360.0000
895,2020/07/22,--,--,0.0000,124751.0000,232.0000,0.0000,--,--,5612.0000,5360.0000
894,2020/07/23,--,--,0.0000,131686.0000,232.0000,0.0000,--,--,5611.0000,5360.0000
893,2020/07/24,--,--,0.0000,131886.0000,232.0000,0.0000,--,--,5709.0000,5360.0000
892,2020/07/27,--,--,0.0000,130302.0000,232.0000,0.0000,--,--,5699.0000,5360.0000
891,2020/07/28,--,--,0.0000,130919.0000,232.0000,0.0000,--,--,5696.0000,5360.0000
890,2020/07/29,--,--,1254.0000,132288.0000,232.0000,0.0000,--,--,5691.0000,5300.0000
889,2020/07/30,--,--,1202.0000,128962.0000,172.0000,-60.0000,--,--,5651.0000,5418.0000
888,2020/07/31,--,--,1188.0000,132139.0000,0.0000,-172.0000,--,--,5585.0000,5203.0000
887,2020/08/03,--,--,86.0000,131372.0000,1098.0000,1098.0000,--,--,5539.0000,5020.0000
886,2020/08/04,--,--,85.0000,129085.0000,1098.0000,0.0000,--,--,5559.0000,5070.0000
885,2020/08/05,--,--,85.0000,127869.0000,1098.0000,0.0000,--,--,5562.0000,5070.0000
884,2020/08/06,--,--,85.0000,128903.0000,1098.0000,0.0000,--,--,5562.0000,5070.0000
883,2020/08/07,--,--,85.0000,140099.0000,1098.0000,0.0000,--,--,5484.0000,5070.0000
882,2020/08/10,--,--,0.0000,139465.0000,1098.0000,0.0000,--,--,5374.0000,5250.0000
881,2020/08/11,--,--,0.0000,132668.0000,1098.0000,0.0000,--,--,5458.0000,5250.0000
880,2020/08/12,--,--,0.0000,130044.0000,1098.0000,0.0000,--,--,5429.0000,5250.0000
879,2020/08/13,--,--,0.0000,127523.0000,1098.0000,0.0000,--,--,5435.0000,5250.0000
878,2020/08/14,--,--,0.0000,131434.0000,1098.0000,0.0000,--,--,5431.0000,5250.0000
877,2020/08/17,--,--,0.0000,140272.0000,1098.0000,0.0000,--,--,5344.0000,5250.0000
876,2020/08/18,--,--,0.0000,146079.0000,951.0000,-147.0000,--,--,5298.0000,5250.0000
875,2020/08/19,--,--,0.0000,151808.0000,851.0000,-100.0000,--,--,5158.0000,5250.0000
874,2020/08/20,--,--,0.0000,136908.0000,701.0000,-150.0000,--,--,5167.0000,5250.0000
873,2020/08/21,--,--,0.0000,129713.0000,701.0000,0.0000,--,--,5236.0000,5250.0000
872,2020/08/24,--,--,0.0000,124315.0000,701.0000,0.0000,--,--,5670.0000,5250.0000
871,2020/08/25,--,--,0.0000,122023.0000,701.0000,0.0000,--,--,5712.0000,5250.0000
870,2020/08/26,--,--,0.0000,121182.0000,621.0000,-80.0000,--,--,5684.0000,5250.0000
869,2020/08/27,--,--,13137.0000,124674.0000,301.0000,-320.0000,--,--,5693.0000,5336.0000
868,2020/08/28,--,--,11081.0000,121009.0000,301.0000,0.0000,--,--,5732.0000,5341.0000
867,2020/08/31,--,--,6275.0000,119260.0000,0.0000,-301.0000,--,--,5771.0000,5334.0000
866,2020/09/01,--,--,5356.0000,119616.0000,1776.0000,1776.0000,--,--,5761.0000,5322.0000
865,2020/09/02,--,--,3799.0000,120240.0000,2336.0000,560.0000,--,--,5843.0000,5426.0000
864,2020/09/03,--,--,2552.0000,116199.0000,3936.0000,1600.0000,--,--,5811.0000,5413.0000
863,2020/09/04,--,--,1718.0000,108601.0000,4336.0000,400.0000,--,--,5735.0000,5337.0000
862,2020/09/07,--,--,1618.0000,110899.0000,4436.0000,100.0000,--,--,5723.0000,5309.0000
861,2020/09/08,--,--,1618.0000,110226.0000,4076.0000,-360.0000,--,--,5674.0000,5309.0000
860,2020/09/09,--,--,1618.0000,105549.0000,4836.0000,760.0000,--,--,5591.0000,5280.0000
859,2020/09/10,--,--,718.0000,116835.0000,4836.0000,0.0000,--,--,5685.0000,5280.0000
858,2020/09/11,--,--,273.0000,115882.0000,5236.0000,400.0000,--,--,5700.0000,5280.0000
857,2020/09/14,--,--,5.0000,122196.0000,5316.0000,80.0000,--,--,5709.0000,5300.0000
856,2020/09/15,--,--,0.0000,122325.0000,2817.0000,-2499.0000,--,--,5740.0000,5883.0000
855,2020/09/16,--,--,0.0000,126663.0000,2517.0000,-300.0000,--,--,5751.0000,5883.0000
854,2020/09/17,--,--,0.0000,126193.0000,2436.0000,-81.0000,--,--,5758.0000,5883.0000
853,2020/09/18,--,--,0.0000,137826.0000,2436.0000,0.0000,--,--,5800.0000,5883.0000
852,2020/09/21,--,--,0.0000,131799.0000,2216.0000,-220.0000,--,--,5776.0000,5883.0000
851,2020/09/22,--,--,0.0000,118340.0000,2216.0000,0.0000,--,--,5663.0000,5883.0000
850,2020/09/23,--,--,0.0000,117649.0000,2216.0000,0.0000,--,--,5639.0000,5883.0000
849,2020/09/24,--,--,0.0000,117669.0000,2216.0000,0.0000,--,--,5621.0000,5883.0000
848,2020/09/25,--,--,0.0000,111641.0000,1816.0000,-400.0000,--,--,5612.0000,5883.0000
847,2020/09/28,--,--,1914.0000,104155.0000,1716.0000,-100.0000,--,--,5661.0000,5396.0000
846,2020/09/29,--,--,1881.0000,103168.0000,1098.0000,-618.0000,--,--,5679.0000,5380.0000
845,2020/09/30,--,--,1849.0000,94763.0000,0.0000,-1098.0000,--,--,5597.0000,5235.0000
844,2020/10/09,--,--,940.0000,99553.0000,909.0000,909.0000,--,--,5681.0000,5400.0000
843,2020/10/12,--,--,0.0000,110373.0000,1849.0000,940.0000,--,--,5697.0000,5400.0000
842,2020/10/13,--,--,0.0000,144436.0000,1849.0000,0.0000,--,--,5867.0000,5400.0000
841,2020/10/14,--,--,0.0000,174536.0000,1689.0000,-160.0000,--,--,6162.0000,5400.0000
840,2020/10/15,--,--,0.0000,171402.0000,1379.0000,-310.0000,--,--,6180.0000,5400.0000
839,2020/10/16,--,--,0.0000,165337.0000,1379.0000,0.0000,--,--,6181.0000,5400.0000
838,2020/10/19,--,--,0.0000,173346.0000,1099.0000,-280.0000,--,--,6380.0000,5400.0000
837,2020/10/20,--,--,0.0000,173382.0000,1059.0000,-40.0000,--,--,6399.0000,5400.0000
836,2020/10/21,--,--,0.0000,168190.0000,955.0000,-104.0000,--,--,6528.0000,5400.0000
835,2020/10/22,--,--,0.0000,174677.0000,623.0000,-332.0000,--,--,6428.0000,5400.0000
834,2020/10/23,--,--,0.0000,164395.0000,285.0000,-338.0000,--,--,6375.0000,5400.0000
833,2020/10/26,--,--,0.0000,163347.0000,223.0000,-62.0000,--,--,6371.0000,5400.0000
832,2020/10/27,--,--,0.0000,172254.0000,223.0000,0.0000,--,--,6407.0000,5400.0000
831,2020/10/28,--,--,3046.0000,183187.0000,163.0000,-60.0000,--,--,6553.0000,6708.0000
830,2020/10/29,--,--,3006.0000,216527.0000,163.0000,0.0000,--,--,6706.0000,7023.0000
829,2020/10/30,--,--,2803.0000,191869.0000,0.0000,-163.0000,--,--,6817.0000,7110.0000
828,2020/11/02,--,--,2783.0000,204183.0000,--,--,--,--,6846.0000,7190.0000
827,2020/11/03,--,--,2783.0000,192940.0000,--,--,--,--,6971.0000,7190.0000
826,2020/11/04,--,--,2783.0000,216282.0000,--,--,--,--,7180.0000,7594.0000
825,2020/11/05,--,--,2783.0000,205195.0000,--,--,--,--,7250.0000,7594.0000
824,2020/11/06,--,--,2783.0000,194332.0000,--,--,--,--,7061.0000,7594.0000
823,2020/11/09,--,--,2783.0000,215407.0000,--,--,--,--,7247.0000,7636.0000
822,2020/11/10,--,--,2783.0000,210366.0000,--,--,--,--,7443.0000,7686.0000
821,2020/11/11,--,--,2783.0000,225906.0000,--,--,--,--,7433.0000,8265.0000
820,2020/11/12,--,--,2783.0000,232368.0000,--,--,--,--,7621.0000,8400.0000
819,2020/11/13,--,--,2783.0000,255367.0000,--,--,--,--,7697.0000,8700.0000
818,2020/11/16,--,--,2783.0000,265698.0000,--,--,--,--,8148.0000,9657.0000
817,2020/11/17,--,--,1663.0000,231831.0000,1120.0000,1120.0000,--,--,8018.0000,9300.0000
816,2020/11/18,--,--,1663.0000,227660.0000,1120.0000,0.0000,--,--,7769.0000,8686.0000
815,2020/11/19,--,--,1663.0000,227352.0000,1120.0000,0.0000,--,--,7706.0000,8600.0000
814,2020/11/20,--,--,1663.0000,222468.0000,320.0000,-800.0000,--,--,7512.0000,8500.0000
813,2020/11/23,--,--,0.0000,218198.0000,1663.0000,1343.0000,--,--,7590.0000,8500.0000
812,2020/11/24,--,--,0.0000,218152.0000,1663.0000,0.0000,--,--,7395.0000,8500.0000
811,2020/11/25,--,--,0.0000,202765.0000,1663.0000,0.0000,--,--,7322.0000,8837.0000
810,2020/11/26,--,--,4334.0000,214214.0000,746.0000,-917.0000,--,--,7427.0000,7617.0000
809,2020/11/27,--,--,4330.0000,208729.0000,506.0000,-240.0000,--,--,7397.0000,7617.0000
808,2020/11/30,--,--,4295.0000,209655.0000,0.0000,-506.0000,--,--,7614.0000,7875.0000
807,2020/12/01,--,--,4295.0000,201898.0000,--,--,--,--,7562.0000,7710.0000
